,name,location,rent,deposit,area,type,highlights,description,owner
0,Majestique Towers,Kharadi,30000.0,60000.0,808.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 30,000 in majestique towers, pune. This flat consists of 2 bathrooms & 1 balcony build in 808 sq.Ft. Carpet area. This property is constructed on 808 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises located on 10th of 16 floor. This is a ready to move property and it is...",PW Realty 
1,Balaji Mesmero,Lohegaon,22500.0,45000.0,1040.0,2 BHK ,"['2 Baths', 'East Facing']",2 bhk flat with modular kitchen lift garden kids play area security guard etc near by school college hospital bank atm airport shopping complex hotel etc,NK Properties 
2,ARV Ganga Kingston,NIBM,27000.0,81000.0,1012.0,2 BHK ,"['2 Baths', 'Private Garden']",Rent: 22000,Foursides Property Management 
3,Goel Ganga Constella,EonFreeZone,37000.0,111000.0,960.0,2 BHK ,"['East Facing', 'Full Power Backup']","2 bhk flat (East facing) with covered car parking in b6 building first floor, eon - Wtc facing available for rent in ganga constella society, eon it park, kharadi, pune The multistory apartment and gated society is located adjacent to Park. This semi-Furnished apartment offers covered car parking, with amenities like club house, children playing zone, gym, park & swimming pool for relaxation gi...",Owner 
4,Solitaire Residency,Rahatani,35000.0,90000.0,1444.0,3 BHK ,"['2 Baths', 'Full Power Backup']",The rose valley society is the one of the famous society in pimple saudagar rahatni area. There are number of amenities in the society like gym clubhouse swimming pool garden and temple also centre of the society. The flat have very good ventilation and sunlight properly cross from the balcony to hall . The bank shopping complex movie theater hotels hospital school and daycare also near from th...,Bardhaman Property one of the famous consultant agency in pimple Saudagar 
5,Nyati Esteban 1,Undri,45000.0,135000.0,2300.0,3 BHK ,"['3 Baths', 'Private Garden']","Fully furnished brand new flat with imported furniture (Furniture from dubai imported )very luxurious and beautiful spacious airy apartment with a gorgeous view. Good sunlight, perfect location with easy access to groceries, medicals, hotels, schools and transport. Cosmopolitan society with all amenities, for instance club house, swimming pool, gym, yoga room, childrens play area, ample car par...",HOME IT 
6,Kasturi La Salette,KirtaneBaugh,125000.0,750000.0,3000.0,4 BHK ,"['4 Baths', 'Full Power Backup']",4 bhk villa for rent in a gated society with all amenities. It is very close to magarpatta and amanora city,Geet Enterprises  
7,amanora Desire Tower,AmanoraParkTown,25000.0,50000.0,500.0,1 BHK ,"['1 Baths', 'East Facing']","1 bhk flat available for rent in amanora desire tower, kharadi.
Monthly rent 25 k negotiable.",VASTU REAL ESTATE 
8,Five Star Royal Imperio,Rahatani,30000.0,70000.0,1120.0,2 BHK ,"['2 Baths', 'East Facing']","Five star royal imperio is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in rahatani, is your opportunity to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 1120 sq.Ft. Carpet usable area. This property is constructed on 1120 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 2n...",saudagar property 
9,Vilas Javdekar Yashwin Orizzonte,Kharadi,32000.0,65000.0,1052.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 32,000 in vilas javdekar yashwin orizzonte, pune. This property offers access to nearby landmarks and is close to school and close to market. This flat consists of 2 bathrooms & 2 balconies in 920 sq.Ft. Super built-Up area. The flat is built on 1052 sq.Ft. Area. This property has study room as well. Ease ...",FORTUNE REALTY SOLUTIONS
10,Vascon Citron Phase 1,Wagholi,19000.0,40000.0,1205.0,2 BHK ,"['North-East Facing', 'Private Garden']","This lovely 2 bhk apartment for rent in wagholi is available in one of pune's most popular projects, vascon citron phase 1. This flat consists of 2 bathrooms & 2 balconies build in 1200 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1205 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a tota...",Neuron Realty 
11,Vascon Citron Phase 1,Wagholi,19000.0,38000.0,1205.0,2 BHK ,"['East Facing', 'Close to School']",2bhk 850carpet with modular kitchen.. Closed to kharat it park.. All a category schools near by.. Road touch property 24/7 public transport available,Neuron Realty 
12,BA Vermont,Wagholi,29000.0,87000.0,1044.0,2 BHK ,"['East Facing', 'Private Garden']","A spacious *2 bhk fully furnished flat* (With additional dinning space) available on rent @ *b.A. Vermont society (E wing), baif road road, wagholi* pune. **available only for family** **complete furnished flat** Available for rent from 5th mar 2024 Suitable for family, a 2 bhk fully furnished spacious with additional dinning space flat (Total area-1000sqft & carpet- 750sqft) with reserved tand...",Neuron Realty 
13,Harmony co-operative housing society,Bhoslenagar,60000.0,360000.0,1200.0,3 BHK ,"['Close to Metro Station', 'Close to School']",The property is owned by m/s steel authority of india ltd. A public sector undertaking. Is available for central/state goverment/psu/bank employees on company lease basis. Total of 6flats available in same society at various floors. Rent mentioned is per flat. Terms and conditions shall be as per m/s sail.,Owner 
14,Kolte Patil Ivy Apartments,Wagholi,21000.0,60000.0,1190.0,2 BHK ,"['2 Baths', 'North-East Facing']","Ideal home for small family, very spacious, well lit and ventilated, aesthetically furnished 2bhk in best society of wagholi",Jivisha Services 
15,Duville Riverdale Heights,Kharadi,57000.0,100000.0,1200.0,3 BHK ,"['East Facing', 'Air Conditioned']",3bhk flat for rent in kharadi good location kharadi,EMPIRE PROPERTY 
16,Gera World of Joy,Kharadi,35000.0,70000.0,732.0,2 BHK ,"['East Facing', 'Air Conditioned']",2bhk duplex in rent kharadi brand new socity,EMPIRE PROPERTY 
17,Mittal Sun Grandeur,PatilNagar,30000.0,100000.0,1390.0,2 BHK ,"['2 Baths', 'East Facing']","Mittal sun grandeur is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in patil nagar with 1390 sq.Ft., is your opportunity to be a part of this community. Property has 1390 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. The flat is built on 1390 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking...",Pune Realty 
18,Vilas Javdekar Yashwin Orizzonte,Kharadi,31000.0,93000.0,930.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 31,000 in vilas javdekar yashwin orizzonte, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 930 sq.Ft. Super built-Up area. The flat is built on 930 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 20th in a tower with 22 floors. It is a se...",Realty Roof 
19,Kingston Aura,Handewadi,22500.0,45000.0,840.0,2 BHK ,"['2 Baths', 'East Facing']","Introducing a spacious and well-Maintained 2 bhk apartment available for rent in the desired locality of handewadi, pune. Situated in a gated society, this affordable apartment is perfect for families looking for a tranquil living experience.The apartment is part of the prestigious vedant kingston aura project and is located on the 9th floor, offering a beautiful garden view. With an area of 11...",Ozone Properties 
