,name,location,rent,deposit,area,type,highlights,description,owner
0,Gera World of Joy,"Studio Apartments / 1 RK Flats for rent in Kharadi, Pune","₹23,000",+ Deposit 3 months rent,350 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","Lavishly furnished brand new studio apartment is available for rent in gera world of joy, kharadi. All luxurious amenities are available. Easy access to schools, markets, it park .",Vighnaharta Properties 
1,Puraniks Aldea,"2 BHK Flat for rent in Baner, Pune","₹30,000",+ Deposit 3 months rent,"1,010 sqft",2 BHK ,"['East Facing', 'Fresh Construction']","This lovely 2 bhk apartment for rent in baner is available in one of pune's most popular projects, puraniks aldea. This 2 bhk flat comes with 2 bathrooms set in 1000 sq.Ft. Super built-Up usable area. This property is constructed on 1010 sq.Ft. Extra space for store room. You also get 1 covered parking inside the premises located on 14th of 15 floor. This is a ready to move property and it is 0...",Freebird Enterprises 
2,Army Welfare Cooperative Society,"3 BHK Flat for rent in Wanowrie, Pune","₹25,000",+ Deposit 3 months rent,"1,250 sqft",3 BHK ,"['3 Baths', 'East Facing']","This lovely 3 bhk apartment for rent in wanowrie is available in one of pune's most popular projects, army welfare cooperative society. Property has attached 3 bathrooms & 1 balcony with 3 rooms set in 1250 sq.Ft. Super built-Up area. The flat is built on 1250 sq.Ft. Area. This flat is situated at 3rd in a tower with 4 floors. This is a 10+ years old society. This is a semi-Furnished flat. Alre...",VISIION REAL ESTATE 
3,Satish Crystal Heights,"2 BHK Flat for rent in Wakad, Pune","₹30,000","+ Deposit ₹70,000","1,020 sqft",2 BHK ,"['2 Baths', 'Gated Society']","A 2 bhk flat for rent in wakad close to all basic civic amenities is available for just 30,000 in satish crystal heights, pune. This flat consists of 2 bathrooms & 2 balconies build in 801 sq.Ft. Carpet area. Flat is constructed on 1020 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 6th of 8 floor in 1-5 years old tower. Furnished flat with 1 ac, 1 chimney, 3 curtains, ...",Om Properties  
4,Kasturi Eon Homes,"3 BHK Flat for rent in Phase 3 Hinjewadi , Pune","₹47,000",+ Deposit 3 months rent,"100,082 sqft",3 BHK ,"['3 Baths', 'Gated Society']","This lovely 3 bhk apartment for rent in phase 3 hinjewadi is available in one of pune's most popular projects, kasturi eon homes. Property has 100082 sq.Ft. Carpet area with 3 bathrooms & 3 balconies attached. The flat is built on 100082 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 12th in a tower with 20 floors. This is a 1-5 year...",Om Properties  
5,Giriraj Maxima,"2 BHK Flat for rent in Shankar Kalat Nagar, Pune","₹27,000","+ Deposit ₹60,000","1,100 sqft",2 BHK ,"['3 Baths', 'Gated Society']","This 2 bhk flat in shankar kalat nagar is available in giriraj maxima for rent, one of the most prominent projects for residential flats in pune. Property has 823 sq.Ft. Carpet area with 3 bathrooms & 1 balcony attached. This flat is constructed on 1100 sq.Ft. Area. Parking available: 1 covered parking & 1 open parking. This flat lies on the 8th floor of a 13 storey building. Well maintained 1-...",Om Properties  
6,Hazel One,"2 BHK Flat for rent in Hinjewadi, Pune","₹31,000","+ Deposit ₹75,000","1,017 sqft",2 BHK ,"['2 Baths', 'Gated Society']",Explore this amicable hazel one of hinjewadi in pune ! Live in a 2 bhk flat for rent in hinjewadi. This 2 bhk flat comes with 2 bathrooms set in 786 sq.Ft. Carpet usable area. This flat is constructed on 1017 sq.Ft. Area. Parking available: 1 covered parking & 1 open parking. This flat lies on the 3rd floor of a 5 storey building. Well maintained 1-5 years property. It is a furnished property. ...,Om Properties  
7,RR Lunkad Akshay Heights,"2 BHK Flat for rent in Wakad, Pune","₹27,001","+ Deposit ₹80,000",604 sqft,2 BHK ,"['2 Baths', 'East Facing']","A spacious 2 bhk flat for rent is available in wakad in rr lunkad akshay heights, pune. Property has 604 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. Flat is constructed on 604 sq.Ft. 1 covered parking available. Placed on 5th of 11 floor in 5-10 years old tower. This is a semi-Furnished flat. Already installed 1 exhaust fan, 2 fan, 2 geyser, 7 light, 1 modular kitchen and 1 water ...",Om Properties  
8,Amit Colori,"2 BHK Flat for rent in Undri, Pune","₹14,000",+ Deposit 3 months rent,"1,131 sqft",2 BHK ,"['2 Baths', 'East Facing']","Find this 2 bhk apartment for rent in undri, pune. This 2 bhk apartment in amit colori is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 808 sq.Ft. Carpet usable area. The flat is built on 1131 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking within society. This flat is situated at 3rd in a tower with 12 floors. This is a 1-5 years old society...",S G Properties  
9,Gera Foliage,"2 BHK Flat for rent in Mhada Colony, Pune","₹35,000",+ Deposit 3 months rent,"1,150 sqft",2 BHK ,"['2 Baths', 'North Facing']","Situated in mhada colony pune, gera foliage is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1000 sq.Ft. Big 2 bhk apartment now available for rent. This flat consists of 2 bathrooms & 1 balcony in 1000 sq.Ft. Super built-Up area. Flat is constructed on 1150 sq.Ft. You get an additional space of others. Placed on 4th of 7 floor in 10+...",Classic Enterprises 
10,Magarpatta Cosmos Apartment,"2 BHK Flat for rent in Hadapsar, Pune","₹34,900","+ Deposit ₹60,000","1,000 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","A beautiful 2 bhk furnished apartment cosmos society .The property is a part of magarpatta city hadapsar .It is a 5 year old property in a promising locality hadapsar . This well-Designed property .The apartment has vitrified flooring. With 1 balcony(s) & 2 bathroom(s) 2 bedroom.The apartment has quality features such as club house/community center, fitness centre/gym, intercom facility, lift(s...",Seva Real Estate 
11,Magarpatta Heliconia,"1 BHK Flat for rent in Magarpatta, Pune","₹20,000",+ Deposit 2 months rent,550 sqft,1 BHK ,"['1 Baths', 'Full Power Backup']","Find this 1 bhk apartment for rent in magarpatta, pune. This 1 bhk apartment in magarpatta heliconia is situated in pune. This flat consists of 1 bathroom & 1 balcony. The flat is built on 550 sq.Ft. Area. This property has pooja room and study room as well. Ease of access to 1 covered parking within society. This flat is situated at lower ground in a tower with 7 floors. This is a 5-10 years o...",Vinayak Property 
12,Magarpatta Heliconia,"1 BHK Flat for rent in Magarpatta, Pune","₹23,900",+ Deposit 2 months rent,600 sqft,1 BHK ,"['1 Baths', 'Gated Society']","Magarpatta heliconia is the most preferred destination for renting flats in magarpatta, pune. A 1 bhk flat is now available for rent here. Don't miss to be a part of this community. This 1 bhk flat comes with 1 bathroom set in 500 sq.Ft. Super built-Up usable area. This flat is constructed on 600 sq.Ft. Area. An independent pooja room is available in this property. Parking available: 1 covered ...",Seva Real Estate 
13,Duville Riverdale Heights,"2 BHK Flat for rent in Eon Free Zone , Pune","₹37,000",,731 sqft,2 BHK ,"['2 Baths', 'East Facing']","Duville riverdale heights is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in eon free zone, is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 1 balcony build in 731 sq.Ft. Carpet area. The flat is built on 731 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 16th in a...",Aditya Buildcon 
14,Kolte Patil Downtown Beryl,"2 BHK Flat for rent in Kharadi, Pune","₹35,000","+ Deposit ₹100,000",800 sqft,2 BHK ,"['2 Baths', 'East Facing']",Pune's most popular society kolte patil downtown beryl in kharadi offers 2 bhk apartment. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 800 sq.Ft. Carpet area. The flat is built on 800 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 1st in a tower with 12 floors. This is a 5-10 years old society. This is a semi-Furnished flat. Furnis...,Aditya Buildcon 
15,38 Park Majestique,"2 BHK Flat for rent in Undri, Pune","₹12,500","+ Deposit ₹30,000","4,584 sqft",2 BHK ,"['2 Baths', 'East Facing']","Find this 2 bhk apartment for rent in undri, pune. This 2 bhk apartment in 38 park majestique is situated in pune. Property has 4584 sq.Ft. Carpet area with 2 bathrooms & 2 balconies attached. The flat consists of 2 bedrooms, built on 4584 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat & the option for 1 open parking is also avail...",S G Properties  
16,Ranjeet Platinum Park,"3 BHK Flat for rent in Undri, Pune","₹13,500","+ Deposit ₹35,000","1,000 sqft",3 BHK ,"['3 Baths', 'Gated Society']",Explore this amicable ranjeet platinum park of undri in pune ! Live in a 3 bhk flat for rent in undri. Property has 1000 sq.Ft. Carpet area with 3 bathrooms & 2 balconies attached. The flat is built on 1000 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking within society. This flat is situated at 9th in a tower with 11 floors. This is a 1-5 years old society. Th...,S G Properties  
17,Ganga Fernhill,"2 BHK Flat for rent in Undri, Pune","₹14,000","+ Deposit ₹30,000","1,260 sqft",2 BHK ,"['2 Baths', 'East Facing']","Explore this amicable ganga fernhill of undri in pune ! Live in a 2 bhk flat for rent in undri. This flat consists of 2 bathrooms & 2 balconies in 980 sq.Ft. Carpet area. Flat is constructed on 1260 sq.Ft. You get an additional space of others. 1 covered parking available. Placed on 7th of 14 floor in 0-1 year old tower. This is an unfurnished flat. Ready to occupy from tue, 20 feb 2024, this p...",S G Properties  
18,Sikka Nyati Highland Eastern Foundation,"5 Bedroom House for rent in Mohammed Wadi, Pune","₹50,000",+ Deposit 3 months rent,"5,000 sqft",5 BHK ,"['4 Baths', 'Private Garden']","5 bhk,bungalow for rent near corienthian club nibm annexe 5000 sq ft plot
 Additional details :",S G Properties  
19,Kool Homes Rising Landscapes,"3 BHK Flat for rent in NIBM, Pune","₹30,000",+ Deposit 3 months rent,"1,300 sqft",3 BHK ,"['3 Baths', 'Gated Society']",Pune's most popular society kool homes rising landscapes in nibm offers 3 bhk apartment. Property has attached 3 bathrooms & 1 balcony with 3 rooms set in 13000 sq.Ft. Carpet area. Flat is constructed on 13000 sq.Ft. You get an additional space of others. 1 covered parking available. 1 open parking available. Placed on 5th of 10 floor in 1-5 years old tower. It is an unfurnished property. Ready...,S G Properties  
