,name,location,rent,deposit,area,type,highlights,description,owner
0,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹20,500","+ Deposit ₹50,000","5,805 sqft",2 BHK ,"['2 Baths', 'East Facing']",2bhk unfurnished flat available for rent in life republic kolte patil township marunji,Elite Properties 
1,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹20,000",+ Deposit 3 months rent,"63,722 sqft",2 BHK ,"['2 Baths', 'East Facing']","2bhk flat available for rent in life republic kolte patil township marunji.
It's available for family or bacholer.",Elite Properties 
2,"Manjri BK, Pune","3 Bedroom House for rent in Manjri BK, Pune","₹26,000","+ Deposit ₹75,000","2,000 sqft",3 BHK ,"['3 Baths', 'East Facing']","Rent this 3 bhk house in pune's most sought after destination, manjri bk. This 3 bhk house has 3 bathrooms & more than 3 balconies. This property is semi-Furnished. The property is equipped with 10 light, 4 fan, 3 wardrobe, 3 geyser, 1 modular kitchen, 1 chimney, 1 curtains and 1 exhaust fan. This house is constructed on super built up area of 2000 sq.Ft. An independent store room, study room, ...",Tulsi Properties 
3,kodre ghule  residency,"2 BHK Flat for rent in Ward No 2 Lonkar Nagar, Pune","₹15,000","+ Deposit ₹30,000",900 sqft,2 BHK ,"['2 Baths', 'East Facing']","Kodre ghule residency is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in ward no 2 lonkar nagar with 900 sq.Ft., is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 2 balconies build in 900 sq.Ft. Super built-Up area. This property is constructed on 900 sq.Ft. Extra space for store room. You also get 1 covered...",Tulsi Properties 
4,Gera Trinity Towers,"2 BHK Flat for rent in Kharadi, Pune","₹37,000",+ Deposit 3 months rent,"1,350 sqft",2 BHK ,"['2 Baths', 'Fitness Center/ Gym']","Available for rent 2 bhk large & spacious flat in gera trinity towers, next to barclays & eon it park, kharadi. The flat design is 2 bedooms, 2 bathrooms, living hall with balcony, kitchen with cabinets and dry balcony with 1 reserved car parking. This 2 bhk flat is located in gera trinity tower which has all amenities of club house, zym, gardens & swimming pool. Available for family working in...",The Guru Realty 
5,Naudeviyon Homes,"2 BHK Flat for rent in Wadgaon Sheri, Pune","₹23,000",+ Deposit 2 months rent,760 sqft,2 BHK ,"['East Facing', 'Full Power Backup']","This 2 bhk flat in wadgaon sheri is available in naudeviyon homes for rent, one of the most prominent projects for residential flats in pune. Property has 760 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. This flat is constructed on 760 sq.Ft. Area. This flat lies on the 5th floor of a 7 storey building. Well maintained 1-5 years property. This is an unfurnished flat. Ready to occup...",READY 2 MOVE
6,Amanora Adreno Towers,"1 BHK Flat for rent in Hadapsar, Pune","₹26,000",+ Deposit 3 months rent,543 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","A 1 bhk flat for rent in hadapsar close to all basic civic amenities is available for just 26,000 in amanora adreno towers, pune. This 1 bhk flat comes with 1 bathroom set in 500 sq.Ft. Super built-Up usable area. The flat is built on 543 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 15th in a tower...",housingmasters  
7,Duville Riverdale Residences,"3 BHK Flat for rent in Kharadi, Pune","₹60,000","+ Deposit ₹200,000","1,700 sqft",3 BHK ,"['3 Baths', 'East Facing']","Situated in kharadi pune, duville riverdale residences is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1700 sq.Ft. Big 3 bhk apartment now available for rent. This flat consists of 3 bathrooms & 1 balcony build in 1700 sq.Ft. Super built-Up area. The flat consists of 3 bedrooms, built on 1700 sq.Ft. Society provides 1 covered parking...",Akshay Enterprises 
8,Marvel Enigma,"3 BHK Flat for rent in Kharadi, Pune","₹54,000",,"1,900 sqft",3 BHK ,"['4 Baths', 'Gated Society']","Marvel enigma is the most preferred destination for renting flats in kharadi, pune. A 3 bhk flat is now available for rent here. Don't miss to be a part of this community. This flat consists of 4 bathrooms & 3 balconies in 1900 sq.Ft. Carpet area. The flat is built on 1900 sq.Ft. Area. This property has pooja room as well. Ease of access to 2 covered parking and 2 open parking within society. T...",PW Realty 
9,Puraniks Aldea,"2 BHK Flat for rent in Baner, Pune","₹30,000","+ Deposit ₹80,000","1,076 sqft",2 BHK ,"['2 Baths', 'East Facing']","A spacious 2 bhk flat for rent is available in baner in puraniks aldea, pune. Additionally, this property is in vicinity to important points of interest and is close to school, close to hospital, close to highway and close to market. This flat consists of 2 bathrooms & 1 balcony build in 780 sq.Ft. Carpet area. This property is constructed on 1076 sq.Ft. Extra space for others. You also get 1 c...",HD Homes Property Solutions 
10,Pinnacle Gulmohar,"2 BHK Flat for rent in Patil Nagar, Pune","₹23,000","+ Deposit ₹50,000",810 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in patil nagar close to all basic civic amenities is available for just 23,000 in pinnacle gulmohar, pune. Property has attached 2 bathrooms with 2 rooms set in 810 sq.Ft. Super built-Up area. This flat is constructed on 810 sq.Ft. Area. An independent others is available in this property. This flat lies on the top floor of a 7 storey building. Well maintained 5-10 years p...",Asha Properties  
11,Amanora Park Town,"3 BHK Flat for rent in Hadapsar, Pune","₹55,000",,"1,700 sqft",3 BHK ,"['3 Baths', 'East Facing']",A well maintained 3bhk is available for rent in neo towers in amanora park township.,Happy Homez 
12,Marvel Cerise,"3 BHK Flat for rent in Tulaja Bhawani Nagar, Pune","₹55,000",+ Deposit 4 months rent,"1,775 sqft",3 BHK ,"['3 Baths', 'Full Power Backup']",Beautifully furnished flat . Excellent location. Groceries and medical just outside,Beautiful Homes 
13,Clover Dale,"1 BHK Flat for rent in Meera Nagar, Pune","₹35,000",+ Deposit 3 months rent,975 sqft,1 BHK ,"['1 Baths', 'Full Power Backup']","Clover dale is one of pune's most sought after destination for residential flats and this 1 bhk flat for rent in meera nagar, is your opportunity to be a part of this community. This flat consists of 1 bathroom & 1 balcony. This property is constructed on 975 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 4th of 5 floor. This is a ready to move prop...",meera shiv Enterprises 
14,SGL Vishwajeet Residency,"1 BHK Flat for rent in Tulaja Bhawani Nagar, Pune","₹27,500",+ Deposit 3 months rent,650 sqft,1 BHK ,"['1 Baths', 'East Facing']","A 1 bhk flat for rent in tulaja bhawani nagar close to all basic civic amenities is available for just 27,500 in sgl vishwajeet residency, pune. This flat consists of 1 bathroom & 1 balcony. This property is constructed on 650 sq.Ft. You also get 1 covered parking inside the premises located on 4th of 6 floor. This is a ready to move property and it is 1-5 years old flat. This is a semi-Furnish...",Property Dot Com
15,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹21,000",+ Deposit 3 months rent,"1,010 sqft",2 BHK ,"['Close to School', 'Gated Society']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
16,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹21,500",+ Deposit 3 months rent,"1,060 sqft",2 BHK ,"['East Facing', 'Close to School']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
17,Leisure Town,"2 BHK Flat for rent in Hadapsar, Pune","₹29,000","+ Deposit ₹60,000","1,015 sqft",2 BHK ,"['2 Baths', 'East Facing']","This 2 bhk flat in hadapsar is available in leisure town for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 3 balconies in 1000 sq.Ft. Super built-Up area. This property is constructed on 1015 sq.Ft. Extra space for others. Located on 2nd of 11 floor. This is a ready to move property and it is 0-1 year old flat. Unfurnished flat ready...",BOOK MY PROPERTY PUNE 
18,Victory Towers,"2 BHK Flat for rent in Amanora Park Town, Pune","₹24,000","+ Deposit ₹72,000",950 sqft,2 BHK ,"['2 Baths', 'East Facing']","Situated in amanora park town pune, victory towers is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 950 sq.Ft. Big 2 bhk apartment now available for rent. This 2 bhk flat comes with 2 bathrooms set in 950 sq.Ft. Super built-Up usable area. This property is constructed on 950 sq.Ft. Extra space for study room. You also get 1 covered pa...",Tulsi Properties 
19,on request,"2 BHK Flat for rent in Teachers Colony, Pune","₹16,000","+ Deposit ₹32,000",900 sqft,2 BHK ,"['2 Baths', 'East Facing']","On request is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in teachers colony with 900 sq.Ft., is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 2 balconies build in 900 sq.Ft. Super built-Up area. Flat is constructed on 900 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 5th of 6 flo...",Tulsi Properties 
20,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹21,000",+ Deposit 3 months rent,719 sqft,2 BHK ,"['East Facing', 'Full Power Backup']","A 2 bhk flat for rent in hinjewadi close to all basic civic amenities is available for just 21,000 in kolte patil life republic, pune. This 2 bhk flat comes with 2 bathrooms set in 719 sq.Ft. Carpet usable area. The flat is built on 719 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking within society. This flat is situated at 12th in a tower with 22 floors. This...",dream home 
21,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹21,002",+ Deposit 3 months rent,889 sqft,2 BHK ,"['Full Power Backup', 'Gated Society']","A 2 bhk flat for rent in hinjewadi close to all basic civic amenities is available for just 21,002 in kolte patil life republic, pune. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 889 sq.Ft. Carpet area. This flat is constructed on 889 sq.Ft. Area. An independent others is available in this property. This flat lies on the 5th floor of a 22 storey building. Well maintained 1...",dream home 
22,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹24,000",+ Deposit 3 months rent,624 sqft,2 BHK ,"['Full Power Backup', 'Gated Society']","This lovely 2 bhk apartment for rent in hinjewadi is available in one of pune's most popular projects, kolte patil life republic. This 2 bhk flat comes with 2 bathrooms set in 58 sq.M. Carpet usable area. This property is constructed on 58 sq.M. Extra space for others. You also get 1 covered parking inside the premises located on 17th of 22 floor. This is a ready to move property and it is 1-5 ...",dream home 
23,Godrej 24,"2 BHK Flat for rent in Hinjewadi, Pune","₹35,000","+ Deposit ₹90,000","1,130 sqft",2 BHK ,"['2 Baths', 'Corner Property']","This lovely 2 bhk apartment for rent in hinjewadi is available in one of pune's most popular projects, godrej 24. This 2 bhk flat comes with 2 bathrooms set in 950 sq.Ft. Super built-Up usable area. The flat consists of 2 bedrooms, built on 1130 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 17 floors and this property is situated on 14th floor. Property i...",Prism Professional Services 
24,Nyati Evita,"3 BHK Flat for rent in Lohegaon, Pune","₹30,000",+ Deposit 3 months rent,"1,050 sqft",3 BHK ,"['3 Baths', 'East Facing']","This lovely 3 bhk apartment for rent in lohegaon is available in one of pune's most popular projects, nyati evita. This flat consists of 3 bathrooms & 3 balconies in 1050 sq.Ft. Carpet area. This property is constructed on 1050 sq.Ft. You also get 1 covered parking inside the premises located on 6th of 11 floor. This is a ready to move property and it is 5-10 years old flat. It is a furnished p...",Akruti Realty 
25,Pride World City,"2 BHK Flat for rent in Lohegaon, Pune","₹29,000",+ Deposit 3 months rent,815 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in lohegaon close to all basic civic amenities is available for just 29,000 in pride world city, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 815 sq.Ft. Carpet area. The flat is built on 815 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 4th in a tower with 13 floors. This is a 0-1 year old society. Th...",Akruti Realty 
26,Shree Nidhi,"2 BHK Flat for rent in Dhanori, Pune","₹25,000",+ Deposit 2 months rent,689 sqft,2 BHK ,"['2 Baths', 'East Facing']","Explore this amicable shree nidhi of dhanori in pune ! Live in a 2 bhk flat for rent in dhanori. This flat consists of 2 bathrooms & 1 balcony in 689 sq.Ft. Carpet area. Flat is constructed on 689 sq.Ft. 1 covered parking available. Placed on 4th of 10 floor in 1-5 years old tower. Semi-Furnished flat with 5 light, 2 fan, 1 bed, 2 wardrobe, 1 geyser, 1 water purifier, 1 modular kitchen and 1 cu...",Akruti Realty 
27,Balaji Mesmero,"2 BHK Flat for rent in Lohegaon, Pune","₹26,000",+ Deposit 3 months rent,750 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in lohegaon close to all basic civic amenities is available for just 26,000 in balaji mesmero, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 750 sq.Ft. Carpet area. Flat is constructed on 750 sq.Ft. 1 covered parking available. Placed on 3rd of 13 floor in 1-5 years old tower. Furnished flat with 4 light, 2 fan, 1 tv, 2 bed, 3 wardrobe, 1 geyser...",Akruti Realty 
28,Skyways Esfera,"2 BHK Flat for rent in Lohegaon, Pune","₹22,000",+ Deposit 2 months rent,745 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']","Explore this amicable skyways esfera of lohegaon in pune ! Live in a 2 bhk flat for rent in lohegaon. This 2 bhk flat comes with 2 bathrooms set in 745 sq.Ft. Carpet usable area. This flat is constructed on 745 sq.Ft. Area. This flat lies on the 7th floor of a 12 storey building. This is an unfurnished flat. The flat will be available for families, single men and single women on company lease w...",Akruti Realty 
